ARABLE,ARCA,o,ARC,i,XXX,x,P1,P1,P1,P7,EX,L,L,M0.395,M0.128,M0.233
ARABLE,ARHA,o,ARH,i,XXX,x,P1,P1,P1,P7,EX,L,L,M0.375,M0.043,M0.131
NON-ARABLE,SCGL,o,SCG,i,XXX,x,P1,P1,P7,P4,I,M,H,M0.385,M0.049,M0.145
ARABLE,LPLI,o,LPQ,i,XXX,x,P1,P1,P4,P4,EX,L,L,M0.385,M0.049,M0.137
NON-ARABLE,LPPT,o,LPQ,i,XXX,x,P2,P1,P3,P2,EX,L,L,M0.403,M0.06,M0.145
ARABLE,FLCA,o,FLC,i,XXX,x,P1,P1,P14,P7,EX,L,L,M0.375,M0.043,M0.131
NON-ARABLE,LPPT,o,LPQ,i,XXX,x,P1,P2,P3,P2,TP,L,L,M0.439,M0.152,M0.292
ARABLE,RGCA,o,RGC,i,XXX,x,P1,P1,P0,P7,EX,L,L,M0.375,M0.043,M0.135
NON-ARABLE,SNGY,o,SNY,i,XXX,x,P1,P2,P5,P5,MW,H,L,M0.41,M0.151,M0.298
NON-ARABLE,SCHA,o,SCH,i,XXX,x,P1,P1,P0,P6,EX,L,H,M0.395,M0.124,M0.243
NON-ARABLE,SCSO,o,SCN,i,XXX,x,P1,P4,P8,P2,TP,H,H,M0.52,M0.28,M0.45
ARABLE,ARHA,o,ARH,i,XXX,x,P1,P1,P0,P8,EX,L,L,M0.465,M0.251,M0.357
NON-ARABLE,SCHA,o,SCH,i,XXX,x,P1,P1,P0,P6,EX,L,H,M0.377,M0.044,M0.134
ARABLE,FLCA,o,FLC,i,XXX,x,P1,P1,P14,P7,MW,L,L,M0.375,M0.043,M0.131
ARABLE,ARCA,o,ARC,i,XXX,x,P1,P1,P14,P7,EX,L,L,M0.375,M0.043,M0.131
NON-ARABLE,LPFR,o,LPQ,i,XXX,x,P1,P1,P4,P2,EX,L,L,M0.403,M0.06,M0.165
NON-ARABLE,P66666,o,P666,i,XXX,x,P3,P7,P0,P1,NE,L,L,M0.403,M0.06,M0.07
NON-ARABLE,P33333,o,P333,i,XXX,x,P1,P0,P0,P1,NE,L,L,M0.481,M0.192,M0.202
ARABLE,CLHA,o,CLH,i,XXX,x,P1,P2,P5,P6,W,L,L,M0.406,M0.151,M0.298
ARABLE,GYCC,o,GYK,i,XXX,x,P1,P1,P5,P6,EX,L,L,M0.377,M0.044,M0.125
NON-ARABLE,P66666,o,P666,o,XXX,x,P3,P7,P0,P1,NE,L,L,M0.403,M0.06,M0.07
ARABLE,FLCA,m,XXX,x,JC,o,P1,P2,P1,P7,W,L,L,M0.471,M0.262,M0.409
